%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1695938519288203236,20,220159000000000,GPS1_Frame,42.33992004394531,-71.08967590332031,28.100000381469727,327858.4375,4689633.0,19,T
1695938520290141587,21,220200000000000,GPS1_Frame,42.33992004394531,-71.08967590332031,28.200000762939453,327858.4375,4689633.0,19,T
1695938521311450178,22,220201000000000,GPS1_Frame,42.33992004394531,-71.08967590332031,28.200000762939453,327858.4375,4689633.0,19,T
1695938522290710272,23,220202000000000,GPS1_Frame,42.33992004394531,-71.08967590332031,28.200000762939453,327858.4375,4689633.0,19,T
1695938523290190483,24,220203000000000,GPS1_Frame,42.33992004394531,-71.08967590332031,28.200000762939453,327858.4375,4689633.0,19,T
1695938524290287082,25,220204000000000,GPS1_Frame,42.33992004394531,-71.08967590332031,28.100000381469727,327858.5625,4689633.0,19,T
1695938525289743112,26,220205000000000,GPS1_Frame,42.33992385864258,-71.08967590332031,28.100000381469727,327858.71875,4689633.5,19,T
1695938526289530336,27,220206000000000,GPS1_Frame,42.33992385864258,-71.08967590332031,28.100000381469727,327858.71875,4689633.5,19,T
1695938527313248294,28,220207000000000,GPS1_Frame,42.339927673339844,-71.08967590332031,28.100000381469727,327858.71875,4689634.0,19,T
1695938528288155223,29,220208000000000,GPS1_Frame,42.33992385864258,-71.08967590332031,28.100000381469727,327858.71875,4689633.5,19,T
1695938529308833245,30,220209000000000,GPS1_Frame,42.33992385864258,-71.08967590332031,28.100000381469727,327858.71875,4689633.5,19,T
1695938530291835262,31,220210000000000,GPS1_Frame,42.33992004394531,-71.08968353271484,28.200000762939453,327858.15625,4689633.0,19,T
1695938531310884124,32,220211000000000,GPS1_Frame,42.33992004394531,-71.08969116210938,28.100000381469727,327857.34375,4689633.0,19,T
1695938532311520331,33,220212000000000,GPS1_Frame,42.33991622924805,-71.0896987915039,27.700000762939453,327856.78125,4689632.5,19,T
1695938533294009563,34,220213000000000,GPS1_Frame,42.339908599853516,-71.0896987915039,27.5,327856.34375,4689632.0,19,T
1695938534290486040,35,220214000000000,GPS1_Frame,42.33990478515625,-71.08970642089844,27.5,327855.78125,4689631.5,19,T
1695938535290375635,36,220215000000000,GPS1_Frame,42.33990478515625,-71.08971405029297,27.399999618530273,327855.53125,4689631.5,19,T
1695938536290539981,37,220216000000000,GPS1_Frame,42.33990478515625,-71.08971405029297,27.200000762939453,327855.09375,4689631.5,19,T
1695938537290165243,38,220217000000000,GPS1_Frame,42.33990478515625,-71.0897216796875,27.100000381469727,327854.40625,4689631.5,19,T
1695938538313225637,39,220218000000000,GPS1_Frame,42.33990478515625,-71.08973693847656,27.100000381469727,327853.46875,4689631.5,19,T
1695938539304136665,40,220219000000000,GPS1_Frame,42.33990478515625,-71.08975219726562,27.100000381469727,327852.34375,4689631.5,19,T
1695938540311867235,41,220220000000000,GPS1_Frame,42.339908599853516,-71.08975982666016,27.0,327851.28125,4689632.0,19,T
1695938541312184459,42,220221000000000,GPS1_Frame,42.33991241455078,-71.08977508544922,26.700000762939453,327850.1875,4689632.5,19,T
1695938542311966287,43,220222000000000,GPS1_Frame,42.33991622924805,-71.08979034423828,26.700000762939453,327849.09375,4689633.0,19,T
1695938543312078364,44,220223000000000,GPS1_Frame,42.33992004394531,-71.08980560302734,26.700000762939453,327848.0,4689633.5,19,T
1695938544291449561,45,220224000000000,GPS1_Frame,42.33992004394531,-71.0898208618164,26.600000381469727,327846.78125,4689633.5,19,T
1695938545312733231,46,220225000000000,GPS1_Frame,42.33992385864258,-71.08983612060547,26.600000381469727,327845.5625,4689634.0,19,T
1695938546312710474,47,220226000000000,GPS1_Frame,42.339927673339844,-71.08985137939453,26.700000762939453,327844.3125,4689634.5,19,T
1695938547291829907,48,220227000000000,GPS1_Frame,42.33993148803711,-71.0898666381836,27.0,327842.8125,4689634.5,19,T
1695938548291984633,49,220228000000000,GPS1_Frame,42.33993148803711,-71.08988189697266,27.200000762939453,327841.4375,4689635.0,19,T
1695938549291782349,50,220229000000000,GPS1_Frame,42.339935302734375,-71.08989715576172,27.399999618530273,327840.375,4689635.5,19,T
1695938550313396825,51,220230000000000,GPS1_Frame,42.33993911743164,-71.08991241455078,27.600000381469727,327839.0,4689635.5,19,T
1695938551293135002,52,220231000000000,GPS1_Frame,42.33993911743164,-71.08992767333984,27.799999237060547,327837.75,4689635.5,19,T
1695938552292054788,53,220232000000000,GPS1_Frame,42.33993911743164,-71.0899429321289,27.899999618530273,327836.53125,4689635.5,19,T
1695938553312942464,54,220233000000000,GPS1_Frame,42.339935302734375,-71.08995819091797,28.0,327835.28125,4689635.5,19,T
1695938554310492073,55,220234000000000,GPS1_Frame,42.33993148803711,-71.08997344970703,28.0,327834.1875,4689635.0,19,T
1695938555289145450,56,220235000000000,GPS1_Frame,42.339927673339844,-71.0899887084961,28.0,327833.0625,4689634.5,19,T
1695938556310759440,57,220236000000000,GPS1_Frame,42.339927673339844,-71.08999633789062,28.100000381469727,327831.96875,4689634.5,19,T
1695938557290088179,58,220237000000000,GPS1_Frame,42.33992385864258,-71.09001159667969,28.200000762939453,327830.71875,4689634.0,19,T
1695938558310932998,59,220238000000000,GPS1_Frame,42.33992004394531,-71.09002685546875,28.299999237060547,327829.46875,4689634.0,19,T
1695938559312578978,60,220239000000000,GPS1_Frame,42.33991622924805,-71.09004211425781,28.5,327828.09375,4689633.5,19,T
1695938560310193611,61,220240000000000,GPS1_Frame,42.33991622924805,-71.09005737304688,28.600000381469727,327826.84375,4689633.5,19,T
1695938561292583092,62,220241000000000,GPS1_Frame,42.33991241455078,-71.09008026123047,28.600000381469727,327825.46875,4689633.0,19,T
1695938562292236606,63,220242000000000,GPS1_Frame,42.339908599853516,-71.090087890625,28.700000762939453,327824.21875,4689632.5,19,T
1695938563312629146,64,220243000000000,GPS1_Frame,42.33990478515625,-71.09010314941406,28.799999237060547,327822.96875,4689632.0,19,T
1695938564292180769,65,220244000000000,GPS1_Frame,42.339900970458984,-71.09011840820312,29.0,327821.875,4689632.0,19,T
1695938565291713501,66,220245000000000,GPS1_Frame,42.33989715576172,-71.09013366699219,29.200000762939453,327820.90625,4689631.5,19,T
1695938566312594677,67,220246000000000,GPS1_Frame,42.339900970458984,-71.09014129638672,29.299999237060547,327820.09375,4689632.0,19,T
1695938567292330834,68,220247000000000,GPS1_Frame,42.33989715576172,-71.09015655517578,29.5,327818.96875,4689631.5,19,T
1695938568291355729,69,220248000000000,GPS1_Frame,42.33988952636719,-71.09017181396484,29.799999237060547,327817.59375,4689630.5,19,T
1695938569291857188,70,220249000000000,GPS1_Frame,42.33988952636719,-71.0901870727539,30.0,327816.46875,4689630.5,19,T
1695938570288771181,71,220250000000000,GPS1_Frame,42.339881896972656,-71.09019470214844,30.200000762939453,327815.5,4689630.0,19,T
1695938571291533508,72,220251000000000,GPS1_Frame,42.339874267578125,-71.0902099609375,30.5,327814.09375,4689629.0,19,T
1695938572310004514,73,220252000000000,GPS1_Frame,42.339866638183594,-71.09022521972656,30.799999237060547,327812.84375,4689628.5,19,T
1695938573289910044,74,220253000000000,GPS1_Frame,42.33986282348633,-71.09024047851562,30.799999237060547,327811.75,4689627.5,19,T
1695938574290390329,75,220254000000000,GPS1_Frame,42.3398551940918,-71.09025573730469,30.899999618530273,327810.5,4689627.0,19,T
1695938575292030255,76,220255000000000,GPS1_Frame,42.3398551940918,-71.09027099609375,30.899999618530273,327809.53125,4689627.0,19,T
1695938576291951744,77,220256000000000,GPS1_Frame,42.339847564697266,-71.09027862548828,31.0,327808.40625,4689626.5,19,T
1695938577290118272,78,220257000000000,GPS1_Frame,42.33982467651367,-71.09029388427734,30.700000762939453,327807.375,4689623.5,19,T
1695938578310134507,79,220258000000000,GPS1_Frame,42.339805603027344,-71.0903091430664,30.5,327806.21875,4689622.0,19,T
1695938579308482148,80,220259000000000,GPS1_Frame,42.33978271484375,-71.09031677246094,30.100000381469727,327805.1875,4689619.0,19,T
