%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1695935528330200952,13,211209000000000,GPS1_Frame,42.33818435668945,-71.08845520019531,34.79999923706055,327954.34375,4689438.0,19,T
1695935529330620676,14,211210000000000,GPS1_Frame,42.33818435668945,-71.08845520019531,35.0,327954.34375,4689438.0,19,T
1695935530331091191,15,211211000000000,GPS1_Frame,42.33818817138672,-71.08845520019531,35.099998474121094,327954.625,4689438.0,19,T
1695935531331648736,16,211212000000000,GPS1_Frame,42.33818817138672,-71.08844757080078,35.0,327954.78125,4689438.5,19,T
1695935532331775210,17,211213000000000,GPS1_Frame,42.33818817138672,-71.08844757080078,35.0,327954.78125,4689438.5,19,T
1695935533331135461,18,211214000000000,GPS1_Frame,42.338191986083984,-71.08844757080078,35.0,327954.78125,4689438.5,19,T
1695935534331867388,19,211215000000000,GPS1_Frame,42.338191986083984,-71.08845520019531,35.0,327954.375,4689438.5,19,T
1695935535331965807,20,211216000000000,GPS1_Frame,42.33818817138672,-71.08846282958984,35.0,327953.8125,4689438.5,19,T
1695935536329103487,21,211217000000000,GPS1_Frame,42.338191986083984,-71.08846282958984,35.0,327953.53125,4689438.5,19,T
1695935537329141070,22,211218000000000,GPS1_Frame,42.338191986083984,-71.08847045898438,35.0,327953.28125,4689438.5,19,T
1695935538331852505,23,211219000000000,GPS1_Frame,42.338191986083984,-71.08847045898438,34.900001525878906,327953.0,4689438.5,19,T
1695935539347795769,24,211220000000000,GPS1_Frame,42.33818817138672,-71.0884780883789,34.79999923706055,327952.4375,4689438.5,19,T
1695935540347682523,25,211221000000000,GPS1_Frame,42.33818817138672,-71.08848571777344,34.70000076293945,327952.03125,4689438.5,19,T
1695935541343977160,26,211222000000000,GPS1_Frame,42.33818817138672,-71.08848571777344,34.70000076293945,327951.625,4689438.5,19,T
1695935542343668762,27,211223000000000,GPS1_Frame,42.33818817138672,-71.08849334716797,34.70000076293945,327951.46875,4689438.5,19,T
1695935543344531984,28,211224000000000,GPS1_Frame,42.33818817138672,-71.08849334716797,34.79999923706055,327951.34375,4689438.5,19,T
1695935544342227149,29,211225000000000,GPS1_Frame,42.338191986083984,-71.08849334716797,34.79999923706055,327951.21875,4689439.0,19,T
1695935545344505010,30,211226000000000,GPS1_Frame,42.338191986083984,-71.08849334716797,34.70000076293945,327950.9375,4689439.0,19,T
1695935546343168203,31,211227000000000,GPS1_Frame,42.338191986083984,-71.08849334716797,34.70000076293945,327951.21875,4689439.0,19,T
1695935547341891691,32,211228000000000,GPS1_Frame,42.338191986083984,-71.08849334716797,34.70000076293945,327951.21875,4689439.0,19,T
1695935548342804413,33,211229000000000,GPS1_Frame,42.33819580078125,-71.08849334716797,34.70000076293945,327951.34375,4689439.0,19,T
1695935549344347676,34,211230000000000,GPS1_Frame,42.33819580078125,-71.08849334716797,34.70000076293945,327950.9375,4689439.5,19,T
1695935550341902709,35,211231000000000,GPS1_Frame,42.338199615478516,-71.0885009765625,34.70000076293945,327950.6875,4689439.5,19,T
1695935551341912654,36,211232000000000,GPS1_Frame,42.338199615478516,-71.0885009765625,34.70000076293945,327950.53125,4689439.5,19,T
1695935552341892017,37,211233000000000,GPS1_Frame,42.33820343017578,-71.0885009765625,34.70000076293945,327950.4375,4689440.5,19,T
1695935553341941723,38,211234000000000,GPS1_Frame,42.33821487426758,-71.08851623535156,34.599998474121094,327949.625,4689441.0,19,T
1695935554343197236,39,211235000000000,GPS1_Frame,42.33822250366211,-71.08851623535156,34.5,327949.65625,4689442.0,19,T
1695935555342955758,40,211236000000000,GPS1_Frame,42.338226318359375,-71.0885009765625,34.20000076293945,327950.75,4689442.5,19,T
1695935556344593349,41,211237000000000,GPS1_Frame,42.338218688964844,-71.0885009765625,33.79999923706055,327950.71875,4689441.5,19,T
1695935557344316521,42,211238000000000,GPS1_Frame,42.33822250366211,-71.08848571777344,33.29999923706055,327951.71875,4689442.0,19,T
1695935558329621204,43,211239000000000,GPS1_Frame,42.33821487426758,-71.0884780883789,32.599998474121094,327952.21875,4689441.0,19,T
1695935559346688174,44,211240000000000,GPS1_Frame,42.33821487426758,-71.0884780883789,32.79999923706055,327952.65625,4689441.5,19,T
